model,rmse_level,rmse_log,mae_level,mae_log,r2_level,r2_log,best_transform
ARIMA,1536.2231946326033,1368.061899270409,1295.8584194695184,1131.2137715432334,-1.8657297272937197,-1.7266459302904504,log
Prophet,2405.799538740337,2291.9470047076034,2026.1913808411234,1992.6681718617706,-16.868071143876033,-12.519975644451868,log
XGBoost,1758.8639727696486,16628.234067475412,1525.4345923580686,16598.632712982893,-2.3577469474324944,-688.0364109260897,level
