,bias
ARIMA,-865.2496395353446
SARIMA,-927.0460197510696
SARIMAX,-797.4409514086622
Prophet,-1100.1527029159447
XGBoost,-1438.295342802529
Hybrid_ARIMA_XGBoost,-772.3580073738952
LSTM_univariate,-1573.2110303914476
